Rank,Song,Artist,Year,Lyrics,Source,spotify_ID
90,all i really want to do,cher,1965, now i aint lookin to compete with you beat on cheat on mistreat you simplify you classify you deny defy mystify youall i really want to do is baby be friends with you baby be friends with younow i aint lookin to fight with you frighten you or uptighten you drag you down or drain you down chain you down or bring you downall i really want to do is baby be friends with you baby be friends with youi aint lookin to block you up dock or rock or lock you up analyze you categorize you finalize or advertise youall i really want to do yeah is baby be friends with you baby be friends with youi dont want to straightface you race or chase or track or trace you or disgrace you or displace you or define you or confine youall i really want to do yeah is baby be friends with you baby be friends with younow i dont want to meet your kin make you spin or do you in or select you or dissect you or inspect you or reject youall i really want to do is baby be friends with you baby be friends with you ,1,7mkhdRep3PFme6KECigXsS
92,i want candy,the strangeloves,1965,i know a girl whos soft and sweet shes so fine she cant be beat got everything that i desire sets the summer sun on fire i want candy i want candy go to see her with her hair hung down aint no finer girl in town candys just what the doctor ordered shes so sweet she makes my mouth water i want candy i want candy i want candy i want candy i want candy i want candy candy on the beach theres nothing better but i like candy when its wrapped in a sweater some day soon ill make her mine then ill have candy all the time i want candy i want candy hey hey hey hey hey hey hey hey hey ,3,7JoPxqrnT3eq02AnflBSiN
95,treat her right,roy head,1965,i wanna tell you a story  every man oughta know  if you want a little lovin you gotta start real slow  shes gonna love you tonight now  if you just treat her right now  squeeze her real gentle  gotta make her feel good  tell her that you love her  like you know you should  so if you dont treat her right  she wont love you tonight  if you practice my method  just as hard as you can  youre gonna get a reputation  as a lovin man  and youll be glad every night  that you treated her right  music to fade,3,2dq2J24oIF67Uvttut4dv7
98,the boy from new york city,the ad libs,1965,oo ah oo ah oo oo kitty tell us about the boy from new york city oo ah oo ah come on kitty tell us about the boy from new york city hes kinda tall hes really fine yeah yeah someday i hope to make him mine all mine yeah yeah and hes neat and oh so sweet and the way he looked at me just swept me off my feet yeah yeah oo ee you oughta come and see how he walks yeah yeah and he talks oo ah oo ah oo oos kitty tell us about the boy from new york city oo ah oo ah come on kitty tell us about the boy from new york city hes really down and hes no clown yeah yeah he has the finest penthouse ive ever seen in town yeah yeah and hes cute in his mohair suit and he keeps his pockets full of spending loot yeah yeah oo ee yeah were all right yeah oo oo evry time he says he loves me chills run down my spine evry time he wants to kiss me he makes me feel so fine thats him alright hes the boy from new york city we call him jill were all right oo ah oo ah kitty tell us about the boy from new york city oo ah oo ah kitty tell us about the boy from new york city,3,6cIqxOrOXuwvAoYPsO9fou
2,cherish,the association,1966,cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you perish is the word that more than applies to the hope in my heart each time i realize that i am not gonna be the one to share your dreams that i am not gonna be the one to share your schemes that i am not gonna be the one to share what seems to be the life that you could cherish as much as i do yours oh im beginning to think that man has never found the words that could make you want me that have the right amount of letters just the right sound that could make you hear make you see that you are drivin me out of my mind oh i could say i need you but then youd realize that i want you just like a thousand other guys whod say they loved you with all the rest of their lies when all they wanted was to touch your face your hands and gaze into your eyes cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you and i do cherish you and i do cherish you cherish is the word,3,5fmtvzDvwlfvNjdNrOj8TA
6,last train to clarksville,the monkees,1966,take the last train to clarksville and ill meet you at the station you can be be here by four thirty cause ive made your reservation dont be slow oh no no no oh no no no cause im leavin in the morning and i must see you again well have one more night together til the morning brings my train and i must go oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville ill be waiting at the station well have time for coffee flavored kisses and a bit of conversation oh no no no oh no no no take the last train to clarksville now i must hang up the phone i cant hear you in this noisy railroad station all alone im feelin low oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville and ill meet you at the station you can be be here by four thirty cause i made your reservation dont be slow oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville take the last train to clarksville take the last train to clarksville take the last train to clarksville,3,3dgyDSKfzaNBtlZuUxc8IW
9,poor side of town,johnny rivers,1966, how can you tell me how much you miss me when the last time i saw you you wouldnt even kiss me that rich guy youve been seein must have put you down so welcome back baby to the poor side of townto him you were nothin but a little plaything not much more than an overnight fling to me you were the greatest thing this boy had ever found and girl its hard to find nice things on the poor side of towni cant blame you for tryin im tryin to make it too ive got one little hang up baby i just cant make it without youso tell me are you gonna stay now will you stand by me girl all the way now oh with you by my side they just cant keep us down together we can make it girl from the poor side of townso tell me how much you love me come be near to me and say you need me nowoh with you by my side this world cant keep us down together we can make it baby from the poor side of town ,1,0mw4Jox6N56qnFimcq1LWT
14,what becomes of the brokenhearted,jimmy ruffin,1966, as i walk this land with broken dreams i have visions of many things loves happiness is just an illusion filled with sadness and confusion what becomes of the broken hearted who had love thats now departed i know ive got to find some kind of peace of mind maybe the fruits of love grow all around but for me they come a tumblin down every day heartaches grow a little stronger i cant stand this pain much longer i walk in shadows searching for light cold and alone no comfort in sight hoping and praying for someone to care always moving and goin to where what becomes of the broken hearted who had love thats now departed i know ive got to find some kind of peace of mind maybe im searching though i dont succeed but someone look theres a growing need oh he is lost theres no place for beginning all thats left is an unhappy ending now whats become of the brokenhearted who had love thats now departed i know ive got to find some kind of peace of mind ill be searching everywhere just to find someone to care ill be looking everyday i know im gonna find a way nothings gonna stop me now ill find a way somehow ill be searching everywhere ,1,2d8sMU2oaJ7pjnoeGQrQDL
15,strangers in the night,frank sinatra,1966, strangers in the night exchanging glances wondering in the night what were the chances wed be sharing love before the night was through something in your eyes was so inviting something in your smile was so exciting something in my heart told me i must have youstrangers in the night two lonely people we were strangers in the night up to the moment when we said our first hello little did we know love was just a glance away a warm embracing dance away and ever since that night weve been together lovers at first sight in love forever it turned out so right for strangers in the nightlove was just a glance away a warm embracing dance away ever since that night weve been together lovers at first sight in love forever it turned out so right for strangers in the nightdoobeedoobeedoo doodoodeedah dahdahdahdahdah ,1,74VR3AkGPhbYXnxcOYa16x
20,when a man loves a woman,percy sledge,1966, when a man loves a woman cant keep his mind on nothing else hell trade the world for the good thing hes found if shes bad he cant see it she can do no wrong turn his back on his best friend if he put her downwhen a man loves a woman spend his very last dime trying to hold on to what he needs hed give up all his comfort sleep out in the rain if she said thats the way it ought to bewell this man loves a woman i gave you everything i had trying to hold on to your precious love baby please dont treat me badwhen a man loves a woman down deep in his soul she can bring him such misery if she plays him for a fool hes the last one to know loving eyes cant ever seewhen a man loves a woman he can do no wrong he can never own some other girl yes when a man loves a woman i know exactly how he feels cause baby baby baby youre my worldwhen a man loves a woman ,1,51FpzuGkRYXFgsE2zXt9av
24,wild thing,the troggs,1966, wild thing you make my heart sing you make everything groovy wild thing wild thing i think i love you but i wanna know for sure come on and hold me tight i love youwild thing you make my heart sing you make everything groovy wild thing wild thing i think you move me but i wanna know for sure come on and hold me tight you move mewild thing you make my heart sing you make everything groovy wild thing wild thing you make my heart sing ,1,0D9J4MkQVyn1690CBqLx4u
