Song,spotify_id,Artist
You've Lost That Lovin' Feelin' - Single Version,0Vp3dNaPhaLJnOPjIMX4Us,Various Artists
You've Lost That Lovin' Feelin',3hleNo0sXhKORE3KjroSsW,Bill Medley
You've Lost That Lovin' Feelin',5ovxcoLtttp5yQOj7hJfEK,Steve Tyrell
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta
Stay Downtown,54EWDYWhs4w6SODnxabuoh,Cole Swindell
Downtown,1tvJf62LAwhnx8cInsfRZM,Lilla Vargen
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",5pfJsMwoRYKampPay8amX0,Macklemore & Ryan Lewis
Downtown,4kY7rYtE4OQkJNq22OIYRI,Lady Antebellum
Downtown Love,5lffpGkK5A4SAQdJSfTJso,G-Eazy
Downtown,20Ny7hBWJPYThjqdvC36xS,August Alsina
Downtown,3rZmpMpzrHxAQf51TTnBl8,Emapea
Downtown,5iK8GmW2uiPuUc5CtkZrIK,Majical Cloudz
Downtown Girl,0tGkExOwqbXyl9rp3gO89b,Hot Chelle Rae
Help,2arL1Kf2JBS7ms00JAz4w0,Papa Roach
Help,6EaGMOSWL2LndwY6gClBaD,Papa Roach
Help Us To Love,1OBvRtqgypM0IFPqxXVMEr,Tori Kelly
Help! - Remastered,7DD7eSuYSC5xk2ArU62esN,The Beatles
He Needs Help,39hBYtqNwwl7v0gynAWyZj,David Wingo
Help Me Out (with Julia Michaels),0rGCh6Ghy785e9wmjwNv4S,Maroon 5
Help (feat. Maejor),0IHjY58S1OdnealEbadJQ1,Blackbear
"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",20GlDz2SYsXF8pzdxguxfe,White Noise Baby Sleep
With A Little Help From My Friends - Remastered,2RnPATK99oGOZygnD2GTO6,The Beatles
Help! - Remastered 2015,3Smida2eCUsLzDcmZqXEZ3,The Beatles
Can't You Hear My Heart Beat,36zgr1j3rnGvVrAjwTCqBV,Peter Posa
Can't You Hear My Heart Beat,73yYFez8hSAVCPiULBg5Rh,Billy Strange
Can't You Hear My Heart Beat (Rerecorded Version),3Qj9eV3K9SliziHK6EQPDa,Herman's Hermits
Can't You Hear My Heart Beat (In the Style of Heman's Hermits) [Karaoke Version],7Dbx0gDJAwLxsSEUzGFi4H,Ameritz Digital Karaoke
Can't You Hear My Heart Beat (Rerecorded Version),7tblzGd1QM4lV4HIR2j3kz,Herman's Hermits
Can't You Hear My Heart Beat,4sb0Gr5l4wIre6Ho8lhMvz,Herman's Hermits
Can't You Hear My Heart Beat,7gBvNgYoiIwkCfVwv7MzPf,Herman's Hermits
Can't You Hear My Heart Beat (Rerecorded Version),5Qv0zCmsQux1QwtOSpTzhu,Herman's Hermits
Can't You Hear My Heart Beat (Rerecorded Version),4DKJ4SYXHgXebFVTviuGN9,Herman's Hermits
Can't You Hear My Heart Beat? (Karaoke Version),6nzDcdSDsXN4Uu6u6LMSMo,The Karaoke Crew
Crying In the Chapel,1Vzr9AOdHw65UHoK1Vuxls,Elvis Presley
Crying In the Chapel,2inb1KNU2bGIkldLsuDb83,Elvis Presley
Crying In the Chapel,12ZC1lGA75ssSExZ9ABh1H,Elvis Presley
Crying In The Chapel,35vjuw2ttf6OL5vFXY9w5v,The Orioles
Crying In the Chapel,0DIvlGtdeLS51h7gnud6Zw,Elvis Presley
Crying In The Chapel,7AQUVBApU16VS3y1lXlXhW,Santo & Johnny
Crying in the Chapel (feat. Menahan Street Band),0EzEG1LipEtqEjlKVpfDhW,Charles Bradley
Crying In the Chapel,13P6kONYO5xvsXSpsN5P7X,Elvis Presley
Crying In The Chapel,3P8oNanYXYyVPFnJDYHPkX,Celtic Thunder
Crying In the Chapel,38VBsmWRksCvxJyEncK6cC,Elvis Presley
My Girl,3izNaTiYdotdPL0Bs76JqO,Dylan Scott
My Girl,6jWkZvd1URGktyTTwcpPpB,The Temptations
Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,Jet
Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,One Direction
Hold My Girl,42bbDWZ8WmXTH7PkYAlGLu,George Ezra
I Need My Girl,7rbCL7W893Zonbfnevku5s,The National
My Girl - Remastered Mono,5zQyqgNXKzhifkivumzxDS,Otis Redding
Steal My Girl,1A0ikIo9hqyp2D3SHxsLk4,Hearts & Colors
My Little Girl,4KZ9wj0K87t0Gdm7km9Yam,Jack Johnson
My Little Girl - from the motion picture My Friend Flicka,7a0joWRrLhlaJMSd2rqaMW,Tim McGraw
"Help Me, Rhonda",3haZcHm3HydDVxm3je3Zmg,The Beach Boys
"Help Me, Rhonda",4qvdAp6MMl59RjaTOti9QD,The Beach Boys
"Help Me, Rhonda",1JorgVEvGT4McTPnJSQGtP,The Beach Boys
"Help Me, Rhonda - Mono",4tBFdPrUURShNtgjnjz1uV,The Beach Boys
"Help Me, Rhonda",1pGNIN1wr7rcsDONmHLNRd,The Beach Boys
"Help Me, Rhonda",4JeoMVblXb8V4SHzAMxzlt,The Beach Boys
"Help Me, Rhonda",2B9kAllSPYIuGQnVyK9UPZ,Pastor Troy
"Help Me, Rhonda (Stereo)",2O6rBmrnIjUr8CttVTZf3T,The Beach Boys
Help Me Rhonda - Remastered,36pVvGIKB5adxd4LllbM7Z,Jan & Dean
"Help Me, Rhonda - Mono",1WkbKnWoV29G1oNMOm6yzk,The Beach Boys
King Of The Road - Re-Recorded In Stereo,36Ew5C2l5r1GAZifRhp4YG,Roger Miller
King of the Road,1swJ3f1M4HL4qLOp2phhcq,Dean Martin
King Of The Road,4bwO2XUKLaL1wM8VTr8L7F,Randy Travis
King Of The Road - Single Version,3gpWYe5Y0S7RQBjgWoM5vh,Roger Miller
King Of The Road - Single Version,0qJXoL9mDiLmx7Rlgfi5si,Roger Miller
King of the Road,4s7rfRJXBluX1no79sDiN3,Randy Travis
King Of The Road - Single Version,0XMu7AdOajYKXVQ1gfAydY,Various Artists
King of the Road,5i58Eswru0w2z9rM8FcmDH,Roger Miller
King Of The Road,2FhrYmd2gkj5NUtEju9yLN,Fu Manchu
King of the Road,55zlO0j9p1VlyOSt57jXBf,Piebald
Birds and the Bees (feat. Kyle Thornton),2yFht0MxHgqY7lQgqhjXQy,Dwilly
The Birds and the Bees,2PNBLcmRZn83z6MjhYynQC,Dean Martin
The Birds and the Bees,2rvSk5CPxSbAEAnyIZmh6M,Jim Hall & Pat Metheny
Birds & The Bees,59n53QoJQa9RcvSuz739oX,IDK
The Birds and The Bees,0Q1bzd01LsJ5Ri8wLo9cdd,Breathe Carolina
The Birds & the Bees,1SoY5RSAqa8Z1Usz9LpAqT,The 2 Bears
Birds and the Bees,31aTWvrpWHCV3TguTRLEBA,the bird and the bee
Birds & The Bees,1LoDnuX6ugdcJY0bI9vPTE,IDK
Birds and the Bees,2kQfXlsGvSY7TlKwFR2lUW,Jillian Jacqueline
The Birds And The Bees,3iStnpu63ZtH5uhLkODE6F,Christian Finnegan
"Hold Me, Thrill Me, Kiss Me",5XPwkZ7vNxeidpNLAkwtFp,Mel Carter
"Hold Me, Thrill Me, Kiss Me, Kill Me",5TsHqbDKaSs4ECZX0045YS,U2
"Hold Me, Thrill Me, Kiss Me",6s79kBwD44fMpRl2F7o9pE,She & Him
"Hold Me, Thrill Me, Kiss Me",721OBJJAh71KjKLdJUDJvt,Gloria Estefan
"Cavity Search (Parody of ""Hold Me, Thrill Me, Kiss Me, Kill Me"" by U2)",4Rux5KiMn9zvoNlunVU2Fc,"""Weird Al"" Yankovic"
"Hold Me, Thrill Me, Kiss Me",0A1VefAR8Jb93msiXyqiMN,John Lloyd Young
"Hold Me, Thrill Me, Kiss Me",0jNBbJFupZ6wL7zA9moVrp,Gloria Estefan
Hold Me Thrill Me Kiss Me,5nYFOWTIIETdeDQ0AQWl3D,The Orioles
"Hold Me, Thrill Me, Kiss Me",2MxR4XskYeQpDKhns5x5Z9,Various Artists
"Hold Me, Thrill Me, Kiss Me",76SvK8moA4YmvZ1lcQHegG,Ronnie McDowell
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra
Angel With A Shotgun,49rpdsNYJirTTf6p6mMvag,The Cab
Shotgun Rider,3LbvNFkqDTrE1liGMmZBDL,Tim McGraw
Riding Shotgun,52Lqdrj2yYAeFSTS2M24Si,Kygo
Shotgun Love,6wdyNTa40ZIPSMKcEWgPRv,Pia Mia
Shotgun,6VzM9C7CXyn1BQdgTJVqDx,Jr. Walker & The All Stars
Shotgun,2LGfcxG9LcDOxnltIPE1Zq,Yellow Claw
Shotgun,4Q9ofRX0a0shID2tVgnvoM,Various Artists
Still Ridin Shotgun,7fsPB1closugEnkKgSMw1W,Tyler Wood
Riding Shotgun - Ryan Riback Remix,63x2ylSiGxGU7dG54upqI4,Kygo
I Got You Babe - LP/Single Version,2SWBfqj1FrS8t8z56G55rP,Sonny & Cher
I Got You Babe - LP/Single Version,4SGBuq37Ol4HJr7pQqFMKa,Sonny & Cher
I Got You Babe - feat. Chrissie Hynde,07itbZUgkAmBi4CEH5NniJ,UB40
I Got You Babe,1to9REkgyVv6BX7fyWgEUj,Bahamas
I Got You Babe,415ivg5cy8Kmri4hsiZDfd,Etta James
I Got You Babe,4zgwcLHZNP9soysqD9PNlt,Sonny & Cher
I Got You Babe - feat. Chrissie Hynde,3UNa2iZNHZ8cDvzXSNVrUZ,UB40
I Got You Babe,6tMjtHEBwMkxslhOe9SHE8,Sonny & Cher
"I Got You Babe - From ""This Is Us""",08Wd7lv2eFDAOIftHDnC3z,This Is Us on NBC
I Got You Babe,2g3RhACtIvABWlDdSuyEwP,Etta James
This Diamond Ring,7n9i7x2fXDmgCsGExP5CrW,Gary Lewis & The Playboys
This Diamond Ring,44zDLad2CZrhWg2lg9nfuy,Gary Lewis & The Playboys
This Diamond Ring,7krLZsVwanqpFd03FYHptt,Gary Lewis & The Playboys
This Diamond Ring - 1990 Digital Remaster,6tLBBoHml6zFgclqwOZrTR,Gary Lewis & The Playboys
This Diamond Ring - 2004 - Remaster,5sBfroy9r6X71nFYrw2tqn,Gary Lewis & The Playboys
This Diamond Ring - Remastered,0ssx9YLnVoYl9eimVYoUVF,Gary Lewis & The Playboys
This Diamond Ring - Re-Recorded,7ddgNZpU6pnbamtmiu2tGA,Various Artists
This Diamond Ring,4S2TG5HAUkKtv6eGCFz2nz,Al Kooper
This Diamond Ring,1pgQJoV9fwzuxwXDw0T5jb,Leroy Van Dyke
This Diamond Ring,2PZ9e9qnAiPC82SA5s1H9N,The Black Boys
Someone In The Crowd,39ncDMVidHOeQgeC5anYZM,Various Artists
Lost In The Crowd,5hdFn6cVv6cbl2XEUzSNpP,Shinedown
Hollow in the Ferns,7ChcR1Vdev6qnpcELoU5tI,Craig Armstrong
The Best Thing (That Never Happened),1GaubsdvL4BQi9SSijVSaz,We Are The In Crowd
A Face In The Crowd,4tSZr210OTY6upjNYfEYUI,Tom Petty
"Lost in the Crowd (feat. Fashawn, Zion I)",24pXGqFW7Ep5wbT9caFKYz,Bassnectar
The Rest Of My Life,0KhMj83N700Wrofm3hgyiN,Less Than Jake
"The ""In"" Crowd - Live (1965/Bohemian Caverns)",3l2pObHGPzGmgRWDlAbUJN,Ramsey Lewis Trio
I Spoke to the Devil in Miami,0myTBLJmpYgMugsmHOlMmn,Leave the Crowd Speechless
The In Crowd,1zDjPjLBW9mPIGQfNjvqaI,Mitchel Musso
"Mrs. Brown, You've Got A Lovely Daughter",1VWiyQ5BiUi3gS6DDPnkTv,Herman's Hermits
"Mrs. Brown, You've Got A Lovely Daughter",1GJCJpKYfzRUsYnSRy4Mfz,Herman's Hermits
Mrs Brown You've Got a Lovely Daughter (Live),6Yqt6CK26U9cztk7TsEdnv,Various Artists
"Mrs. Brown, You've Got A Lovely Daughter",6xlvMlSTBDv5a6fCaPAMes,Herman's Hermits
Mrs. Brown You've Got a Lovely Daughter,0FzX3kLvsWu5VUoe46fUag,Herman's Hermits Starring Peter Noone
Mrs Brown You've Got a Lovely Daughter (Re-Recorded),2qpgGcKpPHbYdquVK8neH2,Herman's Hermits
"Mrs. Brown, You've Got A Lovely Daughter (Re-Reco",2fLVaStZOldVSX5RyoHG6U,Herman's Hermits
Mrs. Brown You've Got a Lovely Daughter - Live,6Px7dFksbbCUeNzsdwHCN9,Herman's Hermits
"Mrs. Brown, You've Got a Lovely Daughter",3Pyh6sbRfgZUYul7tK21TN,Memory Lane
Mrs Brown You've Got a Lovely Daughter (Re-Record),5ZipO3XuOT9nHDImcuICqD,Herman's Hermits
Stop! In The Name Of Love,5yfrc6CGOXxDWx3nGUDcNj,The Supremes
Stop! In The Name Of Love,1xkLLbpo3y4KNy64EFVB9C,Various Artists
Stop! In The Name Of Love / Free Your Mind (Glee Cast Version),51jSfEPZeqH70uDXyq0nYL,Glee Cast
Stop! In The Name Of Love,5tioYiARpCDQhcczSNcaOJ,The Supremes
Stop! In The Name Of Love,7uSc65of5pIfVaL3Zy4DrL,Diana Ross & The Supremes
Stop! In The Name Of Love,2z0bJh9R9Lj4mpBIoC7MB2,Various Artists
Stop! In The Name Of Love,566nGryhIIaKF2en6ZNtyN,Diana Ross & The Supremes
Stop! In The Name Of Love,34GWdo3vTtNlpSLnIS6mLb,The Supremes
Where Did Our Love Go / Stop! In The Name Of Love - Motown The Musical - Original Broadway Cast Recording,0VFnxoRbpJ5l0kfGReRwYt,Original Broadway Cast-Motown The Musical
Stop! In The Name Of Love,7CGDr7kCfU3KfhMdVxu28z,Diana Ross & The Supremes
Unchained Melody,1jFhnVoJkcB4lf9tT0rSZS,The Righteous Brothers
Unchained Melody,6MSR1feoxyvndpYL8ukq4g,Norah Jones
Unchained Melody,2qhASBzpbFhPRtrnZ5lLnz,The Righteous Brothers
Unchained Melody,2eH4LAMhD20bl8tQseKckb,Lykke Li
Unchained Melody - Live,7KDppbMlsEkqdcO4G0vW6U,Elvis Presley
Unchained Melody - Gounod,0sOarliYNN0RB2T4zFaOCV,Richard Clayderman
Unchained Melody,3vI5jrBhzpG0EklENOQdaB,Mike Yung
Unchained Melody,2ArKgz2x8fL8z2KeYXlgLX,Nataly Dawn
Unchained Melody,6FRePTC2w57kLtE4rg20N1,She & Him
Unchained Melody,7dT8bE7aaIlLCfWeIyNMLq,Sam Cooke
Silhouettes - Original Radio Edit,06h3McKzmxS8Bx58USHiMq,Avicii
Silhouettes,612JlaWJl5l6VIrcBck5QB,Colony House
Silhouettes,5RnAsoQfLkLyrepjm3oHkC,Smile Empty Soul
Silhouettes,3AoFd9WAOOCjnkXh5PsmYG,CASS
We Will Become Silhouettes,53hXLQsByJC4B3UCNcmh0E,The Postal Service
Silhouettes,10J11IZbHXIRVHAYDZLuXa,Echos
Silhouettes,5P9EI5iZRctJ0QcarKmraH,Various Artists
Silhouettes - From â€œThe Hunger Games: Catching Fireâ€ Soundtrack,2QMLICqo5TTiPv4BPD3N5t,Various Artists
Painting Silhouettes,4xuZdZIAUqQnkH5IzW0Vpe,Quantic
Silhouettes,1DTeCS7ABEyKW884kL3DSz,Frankie Valli & The Four Seasons
I'll Never Find Another You,6Ln9F9lZNMgV5Ht87z9Bd0,The Seekers
I'll Never Find Another You,1sQ5WUWw3JrsSEhdiQlfRt,The Seekers
I'll Never Find Another (Find Another Like You),3lAol3KuS25fisBzSunYrZ,The Manhattans
I'll Never Find Another You,5S9LsNRLqqZFiDSBMskY72,Sonny James
I'll Never Find Another You - Mono;2009 Remastered Version,2CVfbNk7Mruco332gUnlnX,The Seekers
I'll Never Find Another You - Mono;2009 Remastered Version,0DsSIgYP9q92m2DC9AiSyi,The Seekers
I'll Never Find Another (Find Another Like You),2eY5S0Ka2i6KY2sQ8uILpp,The Manhattans
I'll Never Find Another (Find Another Like You),1XaKQZhEdtsMEbOsO37zYW,The Manhattans
I'll Never Find Another (Find Another Like You),0Q6RfKIGZmkCwXFuaw3OtS,The Manhattans
I'll Never Find Another You,4obc2LWWWEAYLVseBUEJtI,Nora Aunor
"Cara, Mia",0Arrnl9EB7LtzPISpNBQQf,Jay & The Americans
Cara Mia Addio,7EvKZAZ5Jnl8TxSuFrkEEZ,Aperture Science Psychoacoustic Laboratories
Cara Mia (Turret Opera),5TMNpa9pesEMYboeBf6IYn,Adriana Figueroa
Portal 2 - Cara Mia Addio,6IwsYn1LXgnxZCLFmos5sw,Vitamin String Quartet
Cara Mia,4w5PgLUCtWzA2Qbi6WdBu7,Mantovani
Portal 2 - Cara Mia Addio,0u3hfKHqFajeZ3pnKnS5XU,MOD
Cara mia,6mNfBOS7L4QHUyHx8gSP4O,Various Artists
Cara Mia,47p0m7j8UmEtIsv7gPplOo,Eric Tingstad
Cara Mia,1YhBfp9FlIYiKBbsncBnD9,Annie
Cara Mia!,3t2ZusLyDGWtpEZZgS5U4E,Two 5ive
Mr. Tambourine Man,2HCaIYjkvWSZzaSKUoOh3d,The Byrds
Mr. Tambourine Man,3RkQ3UwOyPqpIiIvGVewuU,Bob Dylan
Mr. Tambourine Man,5ndeDep4nCReVGkvG43R9F,The Byrds
I Wrote Mr. Tambourine Man (Live),5YUEx98onJjOs5io2LHLjb,John Craigie
Mr. Tambourine Man,2dpQqMMQws3xjAX4bKD9Rg,Bob Dylan
Mr. Tambourine Man - Recorded at Spotify Studios NYC,7tw38zojk2q0bN8JQcr3Cm,Hamilton Leithauser + Rostam
Mr. Tambourine Man,2KUmkYMFnsiVPCOGx1gefj,Various Artists
Mr. Tambourine Man,2DuHY4meaFz04Qs2UXfKir,Stevie Wonder
Mr. Tambourine Man,691UfzALYfLjSwfenfOg4N,The Byrds
Mr. Tambourine Man,6CQGxEgeXuWs3kjVlztlmg,M. the Heir Apparent
The Bomber A: Closet Queen B: Bolero C: Cast Your Fate To The Wind,5A3ZtOkIeZCGTvMcRpjUrf,James Gang
Cast Your Fate to the Wind,6XaSpyBLtHcniwJbX6iU2k,George Winston
Cast Your Fate to the Wind,2sLxv3lD3kWHeDbBDcbNOg,Vince Guaraldi
Cast Your Fate To The Wind,2Uyv4IymecQUPjKchJKC3R,Vince Guaraldi Trio
Cast Your Fate To The Wind,1tgc1TOjgDSE36kywO7oEN,Allen Toussaint
Cast Your Fate To The Wind,1vVaWgfxUc9Cgtz4gM6UqV,Earl Klugh
Cast Your Fate To The Wind,3nI7dNecArHQRc0vTUvELz,Vince Guaraldi Trio
Cast Your Fate to the Wind,38KTIenSEnoGNGLUrYdFLV,Sounds Orchestral
Cast Your Fate To The Wind,4sbaErfst7g46o7XaspDLX,The Sandpipers
The Bomber: Closet Queen/Bolero/Cast Your Fate To The Wind,7cNULvOvsUdbmw9auSFfmI,James Gang
Yes. I'm Ready,2gZpW5pTZkimGG98loFSl2,Barbara Mason
Yes I'm Ready,4I4xAnYMk8Q9VhBvtQHlHE,Jeffrey Osborne
Yes I'm Ready,2kAd9Wgf2bMsKa0nCHFxlP,Various Artists
"Yes, I'm Ready",5XlhFiWDin9FrGrwIrmDtp,Dee Dee Bridgewater
Yes I'm Ready,4iTWRN5PrwbY87BHTGAfTX,Various Artists
Yes Im Ready,1GWwfY99fTE5peeaslN9e2,Dizzypack
Yes Im Ready,7InofCQG0HjfGrvecgBuiM,Rahmlee
"Yes, I'm Ready",5G1USR57UyWsJZ1165UrJd,Various Artists
Yes I'm Ready,579WdCfOvLGGVgvW5G0QhH,Mr. Knightowl
"Yes, I'm Ready",1Plj6rRZeROn9cWJNdPOXT,Barbara Mason
What's New Pussycat?,4HjwGX3pJKJTeOSDpT6GCo,Tom Jones
Whats New Pussycat,4VYsUi6iCaUqebr7cvc7on,Sham 69
What's New Pussycat?,0cLrqxPiAP5qu9t0Dy0ZEv,Tom Jones
Whats New Pussycat,3AbhePVwnyy4YGkncIJvDA,Alberto DÃ­az
What's New Pussycat,2kQWE8i5mnOmRzQShvNiLX,KRL
What's New Pussycat? - With Intro,20u5zxjj7oCKRPuorsOoiS,Burt Bacharach
What's New Pussycat? - With Intro,3KsNyGV9t5KCAvtDE3aDSP,Tom Jones
What's New Pussycat?,4Z4WwSW76KWJ61D6pLy1kA,Tom Jones
What's New Pussycat?,2ABPc3hFvCIzTtdaOLqp77,101 Strings Orchestra
What's New Pussycat,0OybpsaeMCtlds44ZO8nnr,The Wailers
Eve Of Destruction,1x95pWB3KeK3evKa1VrW6e,Barry McGuire
Eve Of Destruction (Stereo),62ECcEUTVSnDvavP0al1ja,The Turtles
Eve Of Destruction,64Pkw4cvcREc3lQwU6rREp,The Vietnam War on PBS
Eve Of Destruction,4ALZMZoqFr7kjY6KQ4fh26,Various Artists
Eve of Destruction,4ZXnrszKKzla5nKotOByy1,Various Artists
Eve Of Destruction,3oc36n47uhNL9qvf1Aa1q7,Various Artists
Eve Of Destruction,1tjbDvl3XMvCGAHCFKjYhK,The Dickies
Eve Of Destruction (Mono),3X5e5of0MwHiWS6CychKcp,The Turtles
Eve Of Destruction,6rZ5CodWX2uark8j0cKoNB,Bishop Allen
Eve of Destruction,2oT4Mj0nWWTmRalwxCV71v,Joe Perry
Hang On Sloopy,0i7O5MtSTXvR4BEY7stpjF,The McCoys
Hang on Sloopy,13MrHw7A78fu5OoToVF29n,The Ohio State University Marching Band
Hang on Sloopy - Re-Recorded,32d8u7MrvuAEuwWbR2j5rC,Various Artists
Hang on Sloopy,0cgv8yslzfwH0U404rVyvG,Various Artists
Hang on Sloopy,27nSMBSuBs6b3OCEHPhXhu,The McCoys
Es Lupe (Hang on Sloopy),64W3I5DpaMjmi98tgFulyl,Various Artists
Hang On Sloopy,4kF70sTCTtOz5bHX3XxutI,The Vogues
Hang On Sloopy,2c5hMXH853mbn6PC7ROo1g,The McCoys
Hang on Sloopy,1mLOZmq8Th0BEYSt8QUUik,The Ohio State University Marching Band
Hang On Sloopy - Live At The Lighthouse,7xKOTDpOD5zPMuudwlgJx2,Ramsey Lewis Trio
Ticket To Ride - Remastered,7CZiDzGVjUssMSOXrDNYHL,The Beatles
Ticket To Ride - Remastered 2015,7nhrlsT1P4qsslp28UA1BI,The Beatles
Ticket To Ride - Live / Remastered,2FP07Rr3ZwFmJZXsaj7hjE,The Beatles
Ticket To Ride,6AMbHhzNCykqUWCM7g1Qv1,Carpenters
Ticket To Ride - Remastered,55RzZKWf4ICmLH4ulzkXNG,The Beatles
Ticket to Ride,4EVEx3Rn9H6pYq1t4MhOcf,Sara Evans
Ticket To Ride,1XM7vUvZXoJL04qPhKTQzd,The Beat Bugs
"Ticket To Ride - Anthology 2 Version / Live From The ABC Theatre, Blackpool, UK/1965",1ORS4W9bT6v8v3Yy45KsDY,The Beatles
Ticket To Ride,0FjjFFPpvzC9sK3mdUenr2,Vanilla Fudge
Ticket To Ride,2ExPZRKSa2xJKOS6dARFqL,Carpenters
Red Roses For A Blue Lady,4GXXOBUEpCr58TFHIkLrZ0,Bert Kaempfert
Red Roses For A Blue Lady,030PDkQ5eXj8wvwzGBqRXo,Klaus Wunderlich
Red Roses For A Blue Lady,2U8i316GHJMluI42xqbThK,Vic Dana
Red Roses For A Blue Lady - 1989 Digital Remaster,5lo80nwAbSmvNyj4ElsXHs,Wayne Newton
Red Roses For A Blue lady,2DmaZOeu9YazJTYnG7Uadv,The Ray Conniff Singers
Red Roses for a Blue Lady,3dP26yhAx1murb5j0Y833W,Dean Martin
Red Roses For a Blue Lady,59NH1vZlEw3I5IXbKiMA5O,Vaughn Monroe
